原表行号,订单ID,下单日期,客户ID,省份,城市,商品类别,商品名称,数量,单价,折扣,支付方式,订单状态,客户评价,订单ID出现次数,下单日期_标准化,日期异常类型,客户ID_标准化,省份_标准化,城市_标准化,客户地区异常类型,商品类别_标准化,商品类别异常类型,数量_标准化,数量异常类型,单价_标准化,单价异常类型,折扣_标准化,折扣异常类型,支付方式_标准化,支付方式异常类型,订单状态_标准化,订单状态异常类型,销售额
41,OD202500040,45772,C1003,上海,上海,家居,床上四件套,2.0,779.63,1.2,银行卡,待发货,无,1,2025-04-25,,C1003,上海,上海,,家居,,2.0,,779.63,,0.12,,银行卡,,待发货,,1372.1488
42,OD202500041,2025-13-01,C1086,北京,北京,食品,坚果礼盒,1.0,790.79,0.05,微信,退货中,和描述基本一致,1,,非法日期,C1086,北京,北京,,食品,,1.0,,790.79,,0.05,,微信支付,,退货中,,751.2504999999999
43,OD202500042,45677,C1013,山东,青岛,家居,床上四件套,3.0,403.03,0.15,支付宝,已退款,评价返现,1,2025-01-20,,C1013,山东,青岛,,家居,,3.0,,403.03,,0.15,,支付宝,,,订单状态无法识别,1027.7265
44,OD202500043,45755,C1032,浙江,杭州,家居,收纳盒,2.0,339.51,0,银行卡,退货中,质量差，不推荐,1,2025-04-08,,C1032,浙江,杭州,,家居,,2.0,,339.51,,0.0,,银行卡,,退货中,,679.02
45,OD202500044,45997,C1015,广东,广州,美妆,洗面奶,4.0,,0.2,银行卡,退货中,东西很好用,1,2025-12-06,,C1015,广东,广州,,美妆,,4.0,,,单价缺失,0.2,,银行卡,,退货中,,
46,OD202500045,45756,C1053,四川,成都,服装,防晒衣,2.0,376.35,0.3,支付宝,待发货,价格正常,1,2025-04-09,,C1053,四川,成都,,服装,,2.0,,376.35,,0.3,,支付宝,,待发货,,526.89
47,OD202500046,2025年04月18日,C1055,山东,青岛,美妆,洗面奶,0.0,407.77,0.2,微信,退货中,11111,1,2025-04-18,,C1055,山东,青岛,,美妆,,,数量非正数,407.77,,0.2,,微信支付,,退货中,,
48,OD202500047,45744,C1084,,宁波,食品,酸奶,3.0,101.18,0.3,微信,待发货,暂时没发现问题,1,2025-03-28,,C1084,,宁波,省份缺失,食品,,3.0,,101.18,,0.3,,微信支付,,待发货,,212.478
49,OD202500048,45759,C1018,浙江,杭州,数码,机械键盘,5.0,556.92,0.3,支付宝,已退款,颜色和图片不一样,1,2025-04-12,,C1018,浙江,杭州,,数码,,5.0,,556.92,,0.3,,支付宝,,,订单状态无法识别,1949.2199999999998
50,OD202500049,45980,C1073,上海,上海,家居,电热水壶,4.0,233.71,0.2,,已完成,颜色和图片不一样,1,2025-11-19,,C1073,上海,上海,,家居,,4.0,,233.71,,0.2,,,支付方式缺失,已完成,,747.8720000000001
51,OD202500050,45770,C1022,北京,北京,家居,收纳盒,2.0,826.37,0,信用卡,已取消,用了两天就坏了,1,2025-04-23,,C1022,北京,北京,,家居,,2.0,,826.37,,0.0,,信用卡,,已取消,,1652.74
52,OD202500051,2025/12/08,C1067,北京,北京,美妆,洗面奶,5.0,558.13,0.2,货到付款,已退款,？？？,1,2025-12-08,,C1067,北京,北京,,美妆,,5.0,,558.13,,0.2,,货到付款,,,订单状态无法识别,2232.52
53,OD202500052,45886,C1020,湖北,武汉,家居,床上四件套,2.0,758.08,0.05,货到付款,已退款,暂时没发现问题,1,2025-08-17,,C1020,湖北,武汉,,家居,,2.0,,758.08,,0.05,,货到付款,,,订单状态无法识别,1440.352
54,OD202500053,,C1056,浙江,宁波,食品,速溶咖啡,2.0,314.55,0.15,支付宝,已取消,东西很好用,1,,缺失日期,C1056,浙江,宁波,,食品,,2.0,,314.55,,0.15,,支付宝,,已取消,,534.735
55,OD202500054,45776,C1049,江苏,南京,服装,短袖T恤,4.0,377.69,15%,信用卡,已退款,物流很快，包装完整,1,2025-04-29,,C1049,江苏,南京,,服装,,4.0,,377.69,,0.15,,信用卡,,,订单状态无法识别,1284.146
56,OD202500055,45763,C1053,四川,成都,美妆,口红,4.0,438.74,0.05,银行卡,已退款,颜色和图片不一样,1,2025-04-16,,C1053,四川,成都,,美妆,,4.0,,438.74,,0.05,,银行卡,,,订单状态无法识别,1667.212
57,OD202500056,45933,C1095,北京,北京,美妆,面膜,5.0,￥212.09,0.1,信用卡,已完成,包装破损,1,2025-10-03,,C1095,北京,北京,,美妆,,5.0,,,单价格式错误,0.1,,信用卡,,已完成,,
58,OD202500057,45830,C1085,四川,成都,服装,卫衣,1.0,882.04,,支付宝,已退款,评价返现,1,2025-06-22,,C1085,四川,成都,,服装,,1.0,,882.04,,,折扣缺失,支付宝,,,订单状态无法识别,882.04
59,OD202500058,45946,C1084,浙江, 杭州 ,数码,智能手表,1.0,781.83,0,支付宝,待发货,包装破损,1,2025-10-16,,C1084,浙江,杭州,,数码,,1.0,,781.83,,0.0,,支付宝,,待发货,,781.83
60,OD202500059,45825,C1027,湖北,武汉,食品,饼干,,263.87,0.3,信用卡,待发货,性价比不错，推荐,2,2025-06-17,,C1027,湖北,武汉,,食品,,,数量缺失,263.87,,0.3,,信用卡,,待发货,,
61,OD202500059,45898,C1002,北京,北京,数码,移动电源,2.0,591.13,0.3,支付宝,已完成,暂时没发现问题,2,2025-08-29,,C1002,北京,北京,,数码,,2.0,,591.13,,0.3,,支付宝,,已完成,,827.582
62,OD202500061,45760,C1002,山东,青岛,服装,牛仔裤,1.0,435.73,0,货到付款,已取消,用了两天就坏了,1,2025-04-13,,C1002,山东,青岛,,服装,,1.0,,435.73,,0.0,,货到付款,,已取消,,435.73
63,OD202500062,46016,C1032,广东,深圳,服 饰,防晒衣,1.0,703.46,0,银行卡,cancelled,评价返现,1,2025-12-25,,C1032,广东,深圳,,,商品类别无法识别,1.0,,703.46,,0.0,,银行卡,,,订单状态无法识别,703.46
64,OD202500063,45671,C1039,山东,青岛,家居,电热水壶,2.0,85.88,0.2,微信,已完成,价格正常,1,2025-01-14,,C1039,山东,青岛,,家居,,2.0,,85.88,,0.2,,微信支付,,已完成,,137.408
65,OD202500064,46008,C1076,浙江,宁波,美妆,口红,3.0,487.82,0.2,银行卡,已完成,无,1,2025-12-17,,C1076,浙江,宁波,,美妆,,3.0,,487.82,,0.2,,银行卡,,已完成,,1170.768
66,OD202500065,45989,C1043,浙江,杭州,家居,电热水壶,1.0,400.5,0.05,信用卡,已取消,颜色和图片不一样,1,2025-11-28,,C1043,浙江,杭州,,家居,,1.0,,400.5,,0.05,,信用卡,,已取消,,380.47499999999997
67,OD202500066,45748,C1093,北京,北京,食品,酸奶,5.0,428.09,0.3,wx,待发货,质量差，不推荐,1,2025-04-01,,C1093,北京,北京,,食品,,5.0,,428.09,,0.3,,,支付方式无法识别,待发货,,1498.3149999999998
68,OD202500067,45783,C1011,广东,广州,家居,台灯,5.0,520.47,0.2,信用卡,待发货,质量很好，下次还会买,1,2025-05-06,,C1011,广东,广州,,家居,,5.0,,520.47,,0.2,,信用卡,,待发货,,2081.8800000000006
69,OD202500068,2025/09/11,C1041,江苏,南京,家居,台灯,-1.0,721.09,0.05,银行卡,退货中,和描述基本一致,1,2025-09-11,,C1041,江苏,南京,,家居,,,数量非正数,721.09,,0.05,,银行卡,,退货中,,
70,OD202500069,2025年10月12日,C1001,北京,北京,服装,短袖T恤,2.0,652.67,0.1,货到付款,已取消,11111,1,2025-10-12,,C1001,北京,北京,,服装,,2.0,,652.67,,0.1,,货到付款,,已取消,,1174.806
71,OD202500070,45988,C1091,湖北,武汉,家居,收纳盒,1.0,277.93,0.1,微信,完成,评价返现,1,2025-11-27,,C1091,湖北,武汉,,家居,,1.0,,277.93,,0.1,,微信支付,,已完成,,250.137
72,OD202500071,45846,C1060,北京,北京,美妆,洗面奶,4.0,896.04,0.15,银行卡,待发货,用了两天就坏了,1,2025-07-08,,C1060,北京,北京,,美妆,,4.0,,896.04,,0.15,,银行卡,,待发货,,3046.5359999999996
73,OD202500072,45796,C1039,广东,广州,服装,短袖T恤,2.0,3560.16,0.2,货到付款,已取消,一般般,1,2025-05-19,,C1039,广东,广州,,服装,,2.0,,3560.16,,0.2,,货到付款,,已取消,,5696.256
74,OD202500073,45768,C1094,湖北,武汉,食品,酸奶,2.0,881.85,0.3,微信,待发货,暂时没发现问题,1,2025-04-21,,C1094,湖北,武汉,,食品,,2.0,,881.85,,0.3,,微信支付,,待发货,,1234.59
75,OD202500074,45842,,广东,广州,数码,无线鼠标,1.0,260.39,0,货到付款,待发货,东西很好用,1,2025-07-04,,,广东,广州,客户ID缺失,数码,,1.0,,260.39,,0.0,,货到付款,,待发货,,260.39
76,OD202500075,45984,C1096,湖北,武汉,数码,蓝牙耳机,2.0,432.07,0.1,银行卡,已取消,物流很快，包装完整,1,2025-11-23,,C1096,湖北,武汉,,数码,,2.0,,432.07,,0.1,,银行卡,,已取消,,777.726
77,OD202500076,45787,C1061,浙江,宁波,数码,智能手表,5.0,84.19,0.2,支付宝,已取消,东西很好用,1,2025-05-10,,C1061,浙江,宁波,,数码,,5.0,,84.19,,0.2,,支付宝,,已取消,,336.76
78,OD202500077,45946,C1038,浙江,宁波,服装,短袖T恤,4.0,552.56,0.3,货到付款,已取消,无,1,2025-10-16,,C1038,浙江,宁波,,服装,,4.0,,552.56,,0.3,,货到付款,,已取消,,1547.1679999999997
79,OD202500078,45852,C1057,湖北,武汉,食品,酸奶,4.0,287.73,0.15,支付宝,退货中,客服态度很好,1,2025-07-14,,C1057,湖北,武汉,,食品,,4.0,,287.73,,0.15,,支付宝,,退货中,,978.282
80,OD202500079,45764,C1080,上海,上海,食品,坚果礼盒,1.0,230.08,0.15,支付宝,已取消,质量很好，下次还会买,1,2025-04-17,,C1080,上海,上海,,食品,,1.0,,230.08,,0.15,,支付宝,,已取消,,195.568
81,OD202500080,45867,C1057,山东,青岛,家居,床上四件套,1.0,222.7,1.2,银行卡,已退款,性价比不错，推荐,1,2025-07-29,,C1057,山东,青岛,,家居,,1.0,,222.7,,0.12,,银行卡,,,订单状态无法识别,195.976
82,OD202500081,46009,C1029,广东,广州,美妆,面膜,4.0,120,0%,微信,待发货,东西很好用,1,2025-12-18,,C1029,广东,广州,,美妆,,4.0,,120.0,,0.0,,微信支付,,待发货,,480.0
83,OD202500082,2025-13-01,C1007,江苏,南京,食品,酸奶,2.0,405.46,0.1,银行卡,已退款,和描述基本一致,1,,非法日期,C1007,江苏,南京,,食品,,2.0,,405.46,,0.1,,银行卡,,,订单状态无法识别,729.828
84,OD202500083,45914,C1069,湖北,武汉,家居,收纳盒,1.0,801.69,0.2,银行卡,退货中,和描述基本一致,1,2025-09-14,,C1069,湖北,武汉,,家居,,1.0,,801.69,,0.2,,银行卡,,退货中,,641.3520000000001
85,OD202500084,45671,C1011,上海,上海,美妆,香水,1.0,￥898.62,0.2,银行卡,退货中,物流很快，包装完整,1,2025-01-14,,C1011,上海,上海,,美妆,,1.0,,,单价格式错误,0.2,,银行卡,,退货中,,
86,OD202500085,2025/03/31,C1060,北京,北京,家居,床上四件套,1.0,896.31,0.1,信用卡,已完成,11111,1,2025-03-31,,C1060,北京,北京,,家居,,1.0,,896.31,,0.1,,信用卡,,已完成,,806.679
87,OD202500086,45836,C1052,广东,深圳,食品,坚果礼盒,1.0,309.23,0.2,信用卡,待发货,包装破损,1,2025-06-28,,C1052,广东,深圳,,食品,,1.0,,309.23,,0.2,,信用卡,,待发货,,247.38400000000001
88,OD202500087,45939,C1004,湖北, 武汉 ,数码,移动电源,2.0,303.48,0.3,信用卡,退货中,质量很好，下次还会买,1,2025-10-09,,C1004,湖北,武汉,,数码,,2.0,,303.48,,0.3,,信用卡,,退货中,,424.872
89,OD202500088,45994,C1069,湖北,武汉,家居,收纳盒,2.0,,0.15,信用卡,已退款,物流很快，包装完整,1,2025-12-03,,C1069,湖北,武汉,,家居,,2.0,,,单价缺失,0.15,,信用卡,,,订单状态无法识别,
90,OD202500089,45762,C1034,北京,北京,服装,运动鞋,5.0,794.15,0.1,支付宝,已完成,,1,2025-04-15,,C1034,北京,北京,,服装,,5.0,,794.15,,0.1,,支付宝,,已完成,,3573.675
91,OD202500090,45780,C1090,江苏,南京,食品,酸奶,1.0,504.98,0,微信,已完成,用了两天就坏了,1,2025-05-03,,C1090,江苏,南京,,食品,,1.0,,504.98,,0.0,,微信支付,,已完成,,504.98
92,OD202500091,45718,C1082,江苏,南京,家居,床上四件套,2.0,384.63,0.1,信用卡,已取消,用了两天就坏了,1,2025-03-02,,C1082,江苏,南京,,家居,,2.0,,384.63,,0.1,,信用卡,,已取消,,692.3340000000001
93,OD202500092,2025年10月10日,C1018,四川,成都,服装,防晒衣,0.0,779.34,0.05,信用卡,待发货,无,1,2025-10-10,,C1018,四川,成都,,服装,,,数量非正数,779.34,,0.05,,信用卡,,待发货,,
94,OD202500093,45794,C1000,广东,广州,食品类,酸奶,5.0,780.43,0.1,货到付款,已退款,发货太慢了,1,2025-05-17,,C1000,广东,广州,,食品,,5.0,,780.43,,0.1,,货到付款,,,订单状态无法识别,3511.935
95,OD202500094,45828,C1070,,北京,家居,电热水壶,3.0,784.25,0.2,微信,退货中,包装破损,1,2025-06-20,,C1070,,北京,省份缺失,家居,,3.0,,784.25,,0.2,,微信支付,,退货中,,1882.2
96,OD202500095,45777,C1099,四川,成都,数码,移动电源,5.0,639.6,0.3,信用卡,已退款,东西很好用,1,2025-04-30,,C1099,四川,成都,,数码,,5.0,,639.6,,0.3,,信用卡,,,订单状态无法识别,2238.6
97,OD202500096,45911,C1004,江苏,南京,美妆,香水,3.0,784.34,0.3,信用卡,已完成,无,1,2025-09-11,,C1004,江苏,南京,,美妆,,3.0,,784.34,,0.3,,信用卡,,已完成,,1647.1139999999998
98,OD202500097,45891,C1001,江苏,南京,家居,台灯,1.0,432.15,0.05,银行卡,退货中,包装破损,1,2025-08-22,,C1001,江苏,南京,,家居,,1.0,,432.15,,0.05,,银行卡,,退货中,,410.54249999999996
99,OD202500098,45990,C1010,广东,深圳,美妆,防晒霜,3.0,570.58,0.3,,退货中,物流很快，包装完整,1,2025-11-29,,C1010,广东,深圳,,美妆,,3.0,,570.58,,0.3,,,支付方式缺失,退货中,,1198.218
100,OD202500099,45974,C1008,上海,上海,食品,速溶咖啡,1.0,400.89,0,wx,已退款,还可以,2,2025-11-13,,C1008,上海,上海,,食品,,1.0,,400.89,,0.0,,,支付方式无法识别,,订单状态无法识别,400.89
101,OD202500099,46013,C1038,浙江,杭州,数码,移动电源,1.0,277.16,0.05,信用卡,已取消,暂时没发现问题,2,2025-12-22,,C1038,浙江,杭州,,数码,,1.0,,277.16,,0.05,,信用卡,,已取消,,263.302
102,OD202500101,45929,C1052,山东,青岛,服装,牛仔裤,1.0,88.49,0.3,信用卡,退货中,暂时没发现问题,1,2025-09-29,,C1052,山东,青岛,,服装,,1.0,,88.49,,0.3,,信用卡,,退货中,,61.94299999999999
103,OD202500102,2025/09/12,C1074,江苏,南京,服装,卫衣,-1.0,423.42,0.2,支付宝,已退款,价格正常,1,2025-09-12,,C1074,江苏,南京,,服装,,,数量非正数,423.42,,0.2,,支付宝,,,订单状态无法识别,
104,OD202500103,46004,C1069,江苏,南京,数码,智能手表,3.0,888.13,0.05,信用卡,待发货,用了两天就坏了,1,2025-12-13,,C1069,江苏,南京,,数码,,3.0,,888.13,,0.05,,信用卡,,待发货,,2531.1704999999997
105,OD202500104,45812,C1025,四川,成都,家居,收纳盒,2.0,354.6,0.05,货到付款,待发货,价格正常,1,2025-06-04,,C1025,四川,成都,,家居,,2.0,,354.6,,0.05,,货到付款,,待发货,,673.74
106,OD202500105,45669,C1084,四川,成都,食品,坚果礼盒,1.0,820.34,0.2,信用卡,完成,暂时没发现问题,1,2025-01-12,,C1084,四川,成都,,食品,,1.0,,820.34,,0.2,,信用卡,,已完成,,656.272
107,OD202500106,,C1045,上海,上海,服装,防晒衣,2.0,615.43,0.2,微信,已完成,物流很快，包装完整,1,,缺失日期,C1045,上海,上海,,服装,,2.0,,615.43,,0.2,,微信支付,,已完成,,984.688
108,OD202500107,45816,C1056,浙江,杭州,美妆,洗面奶,1.0,98.32,0.05,银行卡,已退款,还可以,1,2025-06-08,,C1056,浙江,杭州,,美妆,,1.0,,98.32,,0.05,,银行卡,,,订单状态无法识别,93.40399999999998
109,OD202500108,45760,C1016,北京,北京,食品,酸奶,2.0,8997.84,5%,信用卡,待发货,质量差，不推荐,1,2025-04-13,,C1016,北京,北京,,食品,,2.0,,8997.84,,0.05,,信用卡,,待发货,,17095.896
110,OD202500109,45716,C1059,浙江,宁波,服装,牛仔裤,4.0,870.2,0.3,货到付款,待发货,性价比不错，推荐,1,2025-02-28,,C1059,浙江,宁波,,服装,,4.0,,870.2,,0.3,,货到付款,,待发货,,2436.56
111,OD202500110,45860,C1001,广东,广州,美妆,口红,5.0,343.36,0.2,银行卡,退货中,包装破损,1,2025-07-22,,C1001,广东,广州,,美妆,,5.0,,343.36,,0.2,,银行卡,,退货中,,1373.4400000000003
112,OD202500111,45984,,浙江,宁波,服装,卫衣,1.0,564.2,0.15,银行卡,退货中,暂时没发现问题,1,2025-11-23,,,浙江,宁波,客户ID缺失,服装,,1.0,,564.2,,0.15,,银行卡,,退货中,,479.57000000000005
113,OD202500112,45989,C1008,湖北,武汉,食品,牛肉干,1.0,￥142.0,0,银行卡,已退款,客服态度很好,1,2025-11-28,,C1008,湖北,武汉,,食品,,1.0,,,单价格式错误,0.0,,银行卡,,,订单状态无法识别,
114,OD202500113,45707,C1030,北京,北京,服装,卫衣,5.0,345.49,0.2,货到付款,已退款,评价返现,1,2025-02-19,,C1030,北京,北京,,服装,,5.0,,345.49,,0.2,,货到付款,,,订单状态无法识别,1381.96
115,OD202500114,45737,C1053,浙江,宁波,家居,抱枕,4.0,845.37,,支付宝,待发货,一般般,1,2025-03-21,,C1053,浙江,宁波,,家居,,4.0,,845.37,,,折扣缺失,支付宝,,待发货,,3381.48
116,OD202500115,2025年08月16日,C1056,上海,上海,食品,坚果礼盒,3.0,498.13,0.2,银行卡,已完成,包装破损,1,2025-08-16,,C1056,上海,上海,,食品,,3.0,,498.13,,0.2,,银行卡,,已完成,,1195.512
