order_id,order_date,customer_id,province,city,category,product_name,quantity,unit_price,discount,payment_method,order_status,customer_review
OD202500017,2025-03-07,C1084,湖北,武汉,美妆,面膜,2.0,483.35,0.15,信用卡,已取消,？？？
OD202500018,2025-12-20,C1025,广东,广州,家居,床上四件套,5.0,810.66,0.1,支付宝,已取消,暂时没发现问题
OD202500019,2025-02-02,C1043,浙江,杭州,美妆,香水,2.0,536.83,0.0,支付宝,已完成,暂时没发现问题
OD202500020,2025-02-04,C1004,广东,深圳,数码,无线鼠标,2.0,264.06,0.1,微信支付,退货中,东西很好用
OD202500021,2025-10-20,C1073,湖北,武汉,服装,卫衣,4.0,186.56,0.0,信用卡,待发货,颜色和图片不一样
OD202500022,2025-07-30,C1059,浙江,杭州,数码,蓝牙耳机,4.0,659.83,0.3,支付宝,已取消,一般般
OD202500023,2025-04-08,C1068,湖北,武汉,服装,卫衣,1.0,264.12,0.0,支付宝,,？？？
OD202500024,2025-02-20,C1006,北京,北京,数码,蓝牙耳机,2.0,165.35,0.1,信用卡,已取消,包装破损
OD202500025,2025-01-31,C1021,四川,成都,数码,智能手表,2.0,834.34,0.3,信用卡,待发货,颜色和图片不一样
OD202500026,2025-12-23,C1093,北京,北京,家居,台灯,2.0,280.1,0.0,货到付款,退货中,物流很快，包装完整
OD202500027,2025-06-10,C1007,浙江,杭州,美妆,防晒霜,1.0,69.05,0.15,支付宝,已取消,性价比不错，推荐
OD202500028,2025-11-01,C1008,上海,上海,家居,收纳盒,2.0,,0.0,货到付款,已完成,颜色和图片不一样
OD202500029,2025-12-03,C1074,山东,青岛,美妆,洗面奶,2.0,198.75,0.2,银行卡,已取消,和描述基本一致
OD202500029,2025-07-22,C1016,广东,广州,家居,床上四件套,1.0,27.2,0.15,货到付款,已完成,性价比不错，推荐
OD202500031,2025-10-03,C1027,北京,北京,食品,速溶咖啡,3.0,794.16,0.0,银行卡,待发货,还可以
OD202500032,2025-08-13,C1069,广东,广州,美妆,香水,1.0,606.72,0.15,银行卡,已完成,东西很好用
OD202500033,2025-05-16,C1014,浙江,宁波,美妆,面膜,2.0,266.95,0.0,,已取消,和描述基本一致
OD202500034,2025-09-16,C1062,广东,广州,数码,蓝牙耳机,,748.83,0.0,支付宝,待发货,东西很好用
OD202500035,2025-11-23,C1033,江苏,南京,家居,抱枕,4.0,512.6,0.0,支付宝,已完成,？？？
OD202500036,2025-01-19,C1047,山东,青岛,美妆,面膜,4.0,1573.8,0.05,银行卡,已完成,发货太慢了
OD202500037,2025-04-18,,上海,上海,数码,移动电源,4.0,875.98,0.2,微信支付,已取消,还可以
OD202500038,2025-04-01,C1052,浙江,杭州,服装,运动鞋,4.0,724.97,0.3,微信支付,待发货,还可以
OD202500039,2025-12-26,C1013,四川,成都,数码,智能手表,2.0,194.62,0.1,银行卡,待发货,暂时没发现问题
OD202500040,2025-04-25,C1003,上海,上海,家居,床上四件套,2.0,779.63,0.12,银行卡,待发货,无
OD202500041,,C1086,北京,北京,食品,坚果礼盒,1.0,790.79,0.05,微信支付,退货中,和描述基本一致
OD202500042,2025-01-20,C1013,山东,青岛,家居,床上四件套,3.0,403.03,0.15,支付宝,,评价返现
OD202500043,2025-04-08,C1032,浙江,杭州,家居,收纳盒,2.0,339.51,0.0,银行卡,退货中,质量差，不推荐
OD202500044,2025-12-06,C1015,广东,广州,美妆,洗面奶,4.0,,0.2,银行卡,退货中,东西很好用
OD202500045,2025-04-09,C1053,四川,成都,服装,防晒衣,2.0,376.35,0.3,支付宝,待发货,价格正常
OD202500046,2025-04-18,C1055,山东,青岛,美妆,洗面奶,,407.77,0.2,微信支付,退货中,11111
OD202500047,2025-03-28,C1084,,宁波,食品,酸奶,3.0,101.18,0.3,微信支付,待发货,暂时没发现问题
OD202500048,2025-04-12,C1018,浙江,杭州,数码,机械键盘,5.0,556.92,0.3,支付宝,,颜色和图片不一样
OD202500049,2025-11-19,C1073,上海,上海,家居,电热水壶,4.0,233.71,0.2,,已完成,颜色和图片不一样
OD202500050,2025-04-23,C1022,北京,北京,家居,收纳盒,2.0,826.37,0.0,信用卡,已取消,用了两天就坏了
OD202500051,2025-12-08,C1067,北京,北京,美妆,洗面奶,5.0,558.13,0.2,货到付款,,？？？
OD202500052,2025-08-17,C1020,湖北,武汉,家居,床上四件套,2.0,758.08,0.05,货到付款,,暂时没发现问题
OD202500053,,C1056,浙江,宁波,食品,速溶咖啡,2.0,314.55,0.15,支付宝,已取消,东西很好用
OD202500054,2025-04-29,C1049,江苏,南京,服装,短袖T恤,4.0,377.69,0.15,信用卡,,物流很快，包装完整
OD202500055,2025-04-16,C1053,四川,成都,美妆,口红,4.0,438.74,0.05,银行卡,,颜色和图片不一样
OD202500056,2025-10-03,C1095,北京,北京,美妆,面膜,5.0,,0.1,信用卡,已完成,包装破损
OD202500057,2025-06-22,C1085,四川,成都,服装,卫衣,1.0,882.04,,支付宝,,评价返现
OD202500058,2025-10-16,C1084,浙江,杭州,数码,智能手表,1.0,781.83,0.0,支付宝,待发货,包装破损
OD202500059,2025-06-17,C1027,湖北,武汉,食品,饼干,,263.87,0.3,信用卡,待发货,性价比不错，推荐
OD202500059,2025-08-29,C1002,北京,北京,数码,移动电源,2.0,591.13,0.3,支付宝,已完成,暂时没发现问题
OD202500061,2025-04-13,C1002,山东,青岛,服装,牛仔裤,1.0,435.73,0.0,货到付款,已取消,用了两天就坏了
OD202500062,2025-12-25,C1032,广东,深圳,,防晒衣,1.0,703.46,0.0,银行卡,,评价返现
OD202500063,2025-01-14,C1039,山东,青岛,家居,电热水壶,2.0,85.88,0.2,微信支付,已完成,价格正常
OD202500064,2025-12-17,C1076,浙江,宁波,美妆,口红,3.0,487.82,0.2,银行卡,已完成,无
OD202500065,2025-11-28,C1043,浙江,杭州,家居,电热水壶,1.0,400.5,0.05,信用卡,已取消,颜色和图片不一样
OD202500066,2025-04-01,C1093,北京,北京,食品,酸奶,5.0,428.09,0.3,,待发货,质量差，不推荐
OD202500067,2025-05-06,C1011,广东,广州,家居,台灯,5.0,520.47,0.2,信用卡,待发货,质量很好，下次还会买
OD202500068,2025-09-11,C1041,江苏,南京,家居,台灯,,721.09,0.05,银行卡,退货中,和描述基本一致
OD202500069,2025-10-12,C1001,北京,北京,服装,短袖T恤,2.0,652.67,0.1,货到付款,已取消,11111
OD202500070,2025-11-27,C1091,湖北,武汉,家居,收纳盒,1.0,277.93,0.1,微信支付,已完成,评价返现
OD202500071,2025-07-08,C1060,北京,北京,美妆,洗面奶,4.0,896.04,0.15,银行卡,待发货,用了两天就坏了
OD202500072,2025-05-19,C1039,广东,广州,服装,短袖T恤,2.0,3560.16,0.2,货到付款,已取消,一般般
OD202500073,2025-04-21,C1094,湖北,武汉,食品,酸奶,2.0,881.85,0.3,微信支付,待发货,暂时没发现问题
OD202500074,2025-07-04,,广东,广州,数码,无线鼠标,1.0,260.39,0.0,货到付款,待发货,东西很好用
OD202500075,2025-11-23,C1096,湖北,武汉,数码,蓝牙耳机,2.0,432.07,0.1,银行卡,已取消,物流很快，包装完整
OD202500076,2025-05-10,C1061,浙江,宁波,数码,智能手表,5.0,84.19,0.2,支付宝,已取消,东西很好用
OD202500077,2025-10-16,C1038,浙江,宁波,服装,短袖T恤,4.0,552.56,0.3,货到付款,已取消,无
OD202500078,2025-07-14,C1057,湖北,武汉,食品,酸奶,4.0,287.73,0.15,支付宝,退货中,客服态度很好
OD202500079,2025-04-17,C1080,上海,上海,食品,坚果礼盒,1.0,230.08,0.15,支付宝,已取消,质量很好，下次还会买
OD202500080,2025-07-29,C1057,山东,青岛,家居,床上四件套,1.0,222.7,0.12,银行卡,,性价比不错，推荐
OD202500081,2025-12-18,C1029,广东,广州,美妆,面膜,4.0,120.0,0.0,微信支付,待发货,东西很好用
OD202500082,,C1007,江苏,南京,食品,酸奶,2.0,405.46,0.1,银行卡,,和描述基本一致
OD202500083,2025-09-14,C1069,湖北,武汉,家居,收纳盒,1.0,801.69,0.2,银行卡,退货中,和描述基本一致
OD202500084,2025-01-14,C1011,上海,上海,美妆,香水,1.0,,0.2,银行卡,退货中,物流很快，包装完整
OD202500085,2025-03-31,C1060,北京,北京,家居,床上四件套,1.0,896.31,0.1,信用卡,已完成,11111
OD202500086,2025-06-28,C1052,广东,深圳,食品,坚果礼盒,1.0,309.23,0.2,信用卡,待发货,包装破损
OD202500087,2025-10-09,C1004,湖北,武汉,数码,移动电源,2.0,303.48,0.3,信用卡,退货中,质量很好，下次还会买
OD202500088,2025-12-03,C1069,湖北,武汉,家居,收纳盒,2.0,,0.15,信用卡,,物流很快，包装完整
OD202500089,2025-04-15,C1034,北京,北京,服装,运动鞋,5.0,794.15,0.1,支付宝,已完成,
OD202500090,2025-05-03,C1090,江苏,南京,食品,酸奶,1.0,504.98,0.0,微信支付,已完成,用了两天就坏了
OD202500091,2025-03-02,C1082,江苏,南京,家居,床上四件套,2.0,384.63,0.1,信用卡,已取消,用了两天就坏了
OD202500092,2025-10-10,C1018,四川,成都,服装,防晒衣,,779.34,0.05,信用卡,待发货,无
OD202500093,2025-05-17,C1000,广东,广州,食品,酸奶,5.0,780.43,0.1,货到付款,,发货太慢了
OD202500094,2025-06-20,C1070,,北京,家居,电热水壶,3.0,784.25,0.2,微信支付,退货中,包装破损
OD202500095,2025-04-30,C1099,四川,成都,数码,移动电源,5.0,639.6,0.3,信用卡,,东西很好用
OD202500096,2025-09-11,C1004,江苏,南京,美妆,香水,3.0,784.34,0.3,信用卡,已完成,无
OD202500097,2025-08-22,C1001,江苏,南京,家居,台灯,1.0,432.15,0.05,银行卡,退货中,包装破损
OD202500098,2025-11-29,C1010,广东,深圳,美妆,防晒霜,3.0,570.58,0.3,,退货中,物流很快，包装完整
OD202500099,2025-11-13,C1008,上海,上海,食品,速溶咖啡,1.0,400.89,0.0,,,还可以
OD202500099,2025-12-22,C1038,浙江,杭州,数码,移动电源,1.0,277.16,0.05,信用卡,已取消,暂时没发现问题
OD202500101,2025-09-29,C1052,山东,青岛,服装,牛仔裤,1.0,88.49,0.3,信用卡,退货中,暂时没发现问题
OD202500102,2025-09-12,C1074,江苏,南京,服装,卫衣,,423.42,0.2,支付宝,,价格正常
OD202500103,2025-12-13,C1069,江苏,南京,数码,智能手表,3.0,888.13,0.05,信用卡,待发货,用了两天就坏了
OD202500104,2025-06-04,C1025,四川,成都,家居,收纳盒,2.0,354.6,0.05,货到付款,待发货,价格正常
OD202500105,2025-01-12,C1084,四川,成都,食品,坚果礼盒,1.0,820.34,0.2,信用卡,已完成,暂时没发现问题
OD202500106,,C1045,上海,上海,服装,防晒衣,2.0,615.43,0.2,微信支付,已完成,物流很快，包装完整
OD202500107,2025-06-08,C1056,浙江,杭州,美妆,洗面奶,1.0,98.32,0.05,银行卡,,还可以
OD202500108,2025-04-13,C1016,北京,北京,食品,酸奶,2.0,8997.84,0.05,信用卡,待发货,质量差，不推荐
OD202500109,2025-02-28,C1059,浙江,宁波,服装,牛仔裤,4.0,870.2,0.3,货到付款,待发货,性价比不错，推荐
OD202500110,2025-07-22,C1001,广东,广州,美妆,口红,5.0,343.36,0.2,银行卡,退货中,包装破损
OD202500111,2025-11-23,,浙江,宁波,服装,卫衣,1.0,564.2,0.15,银行卡,退货中,暂时没发现问题
OD202500112,2025-11-28,C1008,湖北,武汉,食品,牛肉干,1.0,,0.0,银行卡,,客服态度很好
OD202500113,2025-02-19,C1030,北京,北京,服装,卫衣,5.0,345.49,0.2,货到付款,,评价返现
OD202500114,2025-03-21,C1053,浙江,宁波,家居,抱枕,4.0,845.37,,支付宝,待发货,一般般
OD202500115,2025-08-16,C1056,上海,上海,食品,坚果礼盒,3.0,498.13,0.2,银行卡,已完成,包装破损
OD202500116,2025-05-22,C1024,浙江,宁波,家居,收纳盒,2.0,583.7,0.15,支付宝,已完成,质量差，不推荐
OD202500117,2025-05-05,C1016,山东,青岛,服装,短袖T恤,2.0,535.02,0.3,微信支付,待发货,东西很好用
OD202500118,2025-11-02,C1000,广东,广州,服装,牛仔裤,,721.69,0.0,支付宝,已取消,质量很好，下次还会买
OD202500119,2025-07-03,C1030,山东,青岛,食品,坚果礼盒,1.0,252.52,0.0,信用卡,退货中,客服态度很好
OD202500120,2025-02-02,C1060,湖北,武汉,食品,酸奶,1.0,416.76,0.12,货到付款,已完成,无
OD202500121,2025-06-04,C1058,浙江,杭州,数码,智能手表,4.0,394.12,0.0,信用卡,,性价比不错，推荐
OD202500122,2025-02-11,C1041,山东,青岛,服装,短袖T恤,1.0,261.01,0.2,货到付款,退货中,质量差，不推荐
OD202500123,,C1076,北京,北京,食品,牛肉干,4.0,106.28,0.2,支付宝,退货中,一般般
OD202500124,2025-08-09,C1057,上海,上海,家居,床上四件套,5.0,369.88,0.2,支付宝,,颜色和图片不一样
OD202500125,2025-06-10,C1085,广东,广州,食品,速溶咖啡,5.0,78.08,0.3,支付宝,已完成,颜色和图片不一样
OD202500126,2025-02-19,C1095,广东,深圳,服装,防晒衣,1.0,535.09,0.15,货到付款,待发货,客服态度很好
OD202500127,2025-07-30,C1045,四川,成都,数码,移动电源,2.0,328.45,0.15,货到付款,已取消,东西很好用
OD202500128,2025-12-03,C1061,上海,上海,数码,移动电源,3.0,120.1,0.05,货到付款,已取消,颜色和图片不一样
OD202500129,2025-10-15,C1098,山东,青岛,美妆,香水,1.0,554.92,0.2,银行卡,已完成,还可以
OD202500130,2025-05-20,C1089,广东,广州,食品,饼干,1.0,178.64,0.0,货到付款,,性价比不错，推荐
OD202500131,2025-03-14,C1094,浙江,杭州,数码,无线鼠标,2.0,350.05,0.1,银行卡,已取消,发货太慢了
OD202500132,2025-06-09,C1092,广东,深圳,美妆,香水,1.0,,0.0,,退货中,物流很快，包装完整
OD202500133,2025-12-12,C1010,广东,广州,家居,电热水壶,5.0,553.23,0.1,银行卡,已取消,无
OD202500134,2025-02-28,C1044,四川,成都,数码,移动电源,5.0,482.7,0.05,支付宝,已取消,包装破损
OD202500135,2025-11-03,C1007,浙江,杭州,服装,运动鞋,2.0,694.27,0.3,银行卡,待发货,质量差，不推荐
OD202500136,2025-03-03,C1000,湖北,武汉,家居,台灯,,353.58,0.2,微信支付,退货中,？？？
OD202500137,2025-12-09,C1045,浙江,宁波,家居,收纳盒,4.0,35.49,0.0,银行卡,退货中,颜色和图片不一样
OD202500138,2025-10-21,C1051,四川,成都,食品,坚果礼盒,,37.35,0.05,微信支付,退货中,用了两天就坏了
OD202500139,2025-12-20,C1046,浙江,宁波,家居,收纳盒,2.0,402.4,0.1,货到付款,已完成,包装破损
OD202500140,2025-06-08,C1095,广东,深圳,服装,运动鞋,1.0,,0.2,支付宝,已完成,无
OD202500141,2025-04-10,C1099,,深圳,食品,速溶咖啡,2.0,109.47,0.05,微信支付,已取消,
OD202500142,2025-03-20,C1097,浙江,宁波,服装,卫衣,5.0,682.91,0.3,货到付款,,评价返现
OD202500143,2025-11-26,C1081,山东,青岛,食品,饼干,1.0,405.99,0.1,信用卡,待发货,和描述基本一致
OD202500144,2025-10-30,C1007,广东,深圳,美妆,口红,2.0,5103.96,0.0,支付宝,待发货,价格正常
OD202500144,2025-02-09,C1082,浙江,宁波,美妆,香水,4.0,426.19,0.15,支付宝,,评价返现
OD202500146,2025-11-30,C1024,广东,深圳,美妆,防晒霜,1.0,861.8,0.1,支付宝,待发货,性价比不错，推荐
OD202500147,2025-09-16,C1082,江苏,南京,数码,机械键盘,5.0,891.07,0.15,,退货中,还可以
OD202500148,2025-07-06,,广东,广州,家居,电热水壶,3.0,616.43,0.0,银行卡,已完成,质量差，不推荐
OD202500149,2025-02-18,C1071,四川,成都,食品,饼干,1.0,312.36,0.15,微信支付,待发货,价格正常
OD202500150,2025-12-02,C1089,四川,成都,服装,防晒衣,1.0,291.43,0.1,银行卡,已取消,无
OD202500151,2025-02-17,C1082,四川,成都,美妆,洗面奶,1.0,338.09,0.0,微信支付,待发货,11111
OD202500152,2025-04-09,C1028,江苏,南京,服装,短袖T恤,2.0,762.1,0.0,货到付款,退货中,无
OD202500153,2025-01-20,C1084,广东,深圳,美妆,面膜,4.0,154.74,0.0,货到付款,已取消,用了两天就坏了
OD202500154,2025-01-23,C1052,广东,深圳,服装,卫衣,2.0,681.1,0.3,信用卡,已取消,？？？
OD202500155,2025-05-03,C1039,湖北,武汉,,运动鞋,5.0,425.28,0.05,信用卡,退货中,无
OD202500156,2025-08-03,C1020,上海,上海,美妆,面膜,2.0,64.92,0.1,银行卡,退货中,客服态度很好
OD202500157,2025-09-22,C1015,广东,广州,数码,机械键盘,2.0,414.4,0.15,微信支付,,性价比不错，推荐
OD202500158,2025-04-24,C1057,广东,深圳,数码,智能手表,1.0,367.88,0.05,微信支付,,性价比不错，推荐
OD202500159,,C1028,浙江,杭州,食品,坚果礼盒,3.0,715.41,0.0,支付宝,待发货,11111
OD202500160,2025-12-23,C1017,湖北,武汉,家居,抱枕,1.0,816.15,0.12,银行卡,已取消,东西很好用
OD202500161,2025-10-08,C1093,山东,青岛,美妆,防晒霜,1.0,702.03,0.0,银行卡,已完成,物流很快，包装完整
OD202500162,2025-05-03,C1053,山东,青岛,家居,收纳盒,1.0,755.29,0.1,货到付款,退货中,质量很好，下次还会买
OD202500163,2025-11-20,C1065,山东,青岛,服装,牛仔裤,2.0,396.73,0.15,银行卡,已取消,评价返现
OD202500164,,C1023,浙江,宁波,美妆,洗面奶,1.0,858.0,0.15,货到付款,退货中,？？？
OD202500165,2025-01-11,C1049,湖北,武汉,数码,智能手表,3.0,242.21,0.0,,已完成,发货太慢了
OD202500166,2025-05-04,C1093,浙江,宁波,美妆,洗面奶,1.0,58.02,0.15,银行卡,已取消,用了两天就坏了
OD202500167,2025-12-23,C1061,江苏,南京,服装,短袖T恤,5.0,51.55,0.0,支付宝,已取消,物流很快，包装完整
OD202500168,2025-06-11,C1039,北京,北京,家居,抱枕,5.0,,0.3,微信支付,待发货,发货太慢了
OD202500169,2025-01-25,C1083,广东,深圳,食品,坚果礼盒,3.0,403.52,0.1,信用卡,,质量差，不推荐
OD202500169,2025-04-06,C1063,湖北,武汉,食品,酸奶,,724.01,0.2,信用卡,已完成,颜色和图片不一样
OD202500171,2025-11-05,C1023,北京,北京,食品,饼干,1.0,89.46,,银行卡,待发货,用了两天就坏了
OD202500172,2025-11-05,C1091,四川,成都,服装,卫衣,3.0,412.47,0.2,银行卡,退货中,颜色和图片不一样
OD202500173,2025-05-21,C1081,浙江,杭州,数码,智能手表,3.0,470.52,0.2,微信支付,已完成,东西很好用
OD202500174,2025-11-08,C1086,湖北,武汉,数码,机械键盘,1.0,226.68,0.2,银行卡,待发货,包装破损
OD202500175,2025-10-18,C1004,山东,青岛,服装,卫衣,3.0,346.37,0.3,支付宝,已完成,东西很好用
OD202500176,2025-09-29,C1046,四川,成都,食品,饼干,2.0,,0.0,微信支付,,无
OD202500177,2025-07-18,C1071,浙江,宁波,食品,饼干,,207.82,0.15,银行卡,,一般般
OD202500178,2025-03-04,C1017,浙江,宁波,家居,台灯,5.0,896.59,0.3,银行卡,待发货,性价比不错，推荐
OD202500179,2025-10-09,C1069,广东,广州,食品,速溶咖啡,1.0,717.45,0.15,微信支付,已完成,一般般
OD202500180,2025-03-13,C1030,湖北,武汉,数码,移动电源,3.0,5163.84,0.15,微信支付,退货中,性价比不错，推荐
